 Burst #, T_1^1, T_2^1, T_3^1, T_4^1, ... , T_1^n, T_2^n, T_3^n, T_4^n, (where n<=8 is the number of successful messages) 
1,3888422468s 4.964787513e-05 ns,3888422467 s 0.9970065949 ns,3888422467 s 0.997248177 ns,3888422468 s 0.0006569619291 ns,3888422475s 0.9999992268 ns,3888422475 s 0.996920822 ns,3888422475 s 0.9969604718 ns,3888422476 s 0.0004257007968 ns,3888422484s 0.003982234979 ns,3888422484 s 0.0008538358379 ns,3888422484 s 0.0008916999213 ns,3888422484 s 0.004374603974 ns,3888422492s 0.00398065499 ns,3888422492 s 0.0008786278777 ns,3888422492 s 0.000918016769 ns,3888422492 s 0.004383600783 ns,3888422500s 0.003982376773 ns,3888422500 s 0.0008921318222 ns,3888422500 s 0.000932036899 ns,3888422500 s 0.004371716874 ns,3888422507s 0.9999965099 ns,3888422507 s 0.9968961619 ns,3888422507 s 0.9969384549 ns,3888422508 s 0.0004306409974 ns,3888422515s 0.9999816918 ns,3888422515 s 0.9968557309 ns,3888422515 s 0.99690263 ns,3888422516 s 0.000392211834 ns,3888422524s 0.00399984885 ns,3888422524 s 0.0008748648688 ns,3888422524 s 0.000921956962 ns,3888422524 s 0.004375015851 ns
2,3888422724s 0.1221428469 ns,3888422724 s 0.119081192 ns,3888422724 s 0.1191206719 ns,3888422724 s 0.1226348528 ns,3888422732s 0.1220998669 ns,3888422732 s 0.1189988288 ns,3888422732 s 0.119044411 ns,3888422732 s 0.122490119 ns,3888422740s 0.1221029328 ns,3888422740 s 0.1190187798 ns,3888422740 s 0.119112317 ns,3888422740 s 0.1225815178 ns,3888422748s 0.122095156 ns,3888422748 s 0.1189844988 ns,3888422748 s 0.1190230679 ns,3888422748 s 0.1224674899 ns,3888422756s 0.1220850989 ns,3888422756 s 0.119010462 ns,3888422756 s 0.1190570458 ns,3888422756 s 0.1225599248 ns,3888422764s 0.1220926158 ns,3888422764 s 0.1189884739 ns,3888422764 s 0.1190427209 ns,3888422764 s 0.122484908 ns,3888422772s 0.1220836369 ns,3888422772 s 0.1190160909 ns,3888422772 s 0.1190758268 ns,3888422772 s 0.1225686679 ns,3888422780s 0.122131418 ns,3888422780 s 0.11905528 ns,3888422780 s 0.1191050508 ns,3888422780 s 0.122534222 ns
3,3888422980s 0.122141273 ns,3888422980 s 0.119630537 ns,3888422980 s 0.11968317 ns,3888422980 s 0.1231598698 ns,3888422988s 0.1221315179 ns,3888422988 s 0.119032234 ns,3888422988 s 0.1190848539 ns,3888422988 s 0.1225614338 ns,3888422996s 0.1220879129 ns,3888422996 s 0.119051022 ns,3888422996 s 0.119134533 ns,3888422996 s 0.12260265 ns,3888423004s 0.1221075919 ns,3888423004 s 0.118982923 ns,3888423004 s 0.11905288 ns,3888423004 s 0.1225281188 ns,3888423012s 0.1221035339 ns,3888423012 s 0.1190393129 ns,3888423012 s 0.1191088608 ns,3888423012 s 0.1225748649 ns,3888423020s 0.1221064078 ns,3888423020 s 0.1190003059 ns,3888423020 s 0.1190527908 ns,3888423020 s 0.1225324729 ns,3888423028s 0.1220999248 ns,3888423028 s 0.119037509 ns,3888423028 s 0.119082463 ns,3888423028 s 0.1225630289 ns,3888423036s 0.1221110718 ns,3888423036 s 0.119072438 ns,3888423036 s 0.1191207329 ns,3888423036 s 0.1226064099 ns
4,3888423236s 0.1224170409 ns,3888423236 s 0.1193062619 ns,3888423236 s 0.1193517689 ns,3888423236 s 0.1228123759 ns,3888423244s 0.1221306748 ns,3888423244 s 0.1190629068 ns,3888423244 s 0.1191199359 ns,3888423244 s 0.122600697 ns,3888423252s 0.1221071449 ns,3888423252 s 0.118977058 ns,3888423252 s 0.1190213149 ns,3888423252 s 0.1224707968 ns,3888423260s 0.1221442998 ns,3888423260 s 0.1190504618 ns,3888423260 s 0.1190828809 ns,3888423260 s 0.1225956709 ns,3888423268s 0.1221084269 ns,3888423268 s 0.1189722328 ns,3888423268 s 0.119021548 ns,3888423268 s 0.1225282289 ns,3888423276s 0.1221094928 ns,3888423276 s 0.1189984968 ns,3888423276 s 0.1190731039 ns,3888423276 s 0.1225438109 ns,3888423284s 0.1221084588 ns,3888423284 s 0.1191111889 ns,3888423284 s 0.1191517778 ns,3888423284 s 0.12262115 ns,3888423292s 0.1221594538 ns,3888423292 s 0.1191405409 ns,3888423292 s 0.1192402949 ns,3888423292 s 0.1227190848 ns
5,3888423492s 0.1221670159 ns,3888423492 s 0.1197606709 ns,3888423492 s 0.1198063788 ns,3888423492 s 0.123287122 ns,3888423500s 0.122111226 ns,3888423500 s 0.1189858059 ns,3888423500 s 0.1190259289 ns,3888423500 s 0.1225190039 ns,3888423508s 0.1221354678 ns,3888423508 s 0.1190324018 ns,3888423508 s 0.1190809819 ns,3888423508 s 0.122535734 ns,3888423516s 0.1221358958 ns,3888423516 s 0.1190216348 ns,3888423516 s 0.119061149 ns,3888423516 s 0.1225501429 ns,3888423524s 0.1221290638 ns,3888423524 s 0.1190135998 ns,3888423524 s 0.1190596989 ns,3888423524 s 0.1225679379 ns,3888423532s 0.1221082029 ns,3888423532 s 0.1189753478 ns,3888423532 s 0.1190065688 ns,3888423532 s 0.1224619369 ns,3888423540s 0.1221121929 ns,3888423540 s 0.11898849 ns,3888423540 s 0.119050707 ns,3888423540 s 0.1225552468 ns,3888423548s 0.1221179729 ns,3888423548 s 0.1190022358 ns,3888423548 s 0.1190515619 ns,3888423548 s 0.122538619 ns
6,3888423748s 0.122181864 ns,3888423748 s 0.11905705 ns,3888423748 s 0.1190982 ns,3888423748 s 0.1226047098 ns,3888423756s 0.12211463 ns,3888423756 s 0.1190523079 ns,3888423756 s 0.119106825 ns,3888423756 s 0.1226218608 ns,3888423764s 0.1221143019 ns,3888423764 s 0.1189948909 ns,3888423764 s 0.1190307138 ns,3888423764 s 0.1225119769 ns,3888423772s 0.1221654539 ns,3888423772 s 0.1190855189 ns,3888423772 s 0.1191218589 ns,3888423772 s 0.1226165909 ns,3888423780s 0.1221080418 ns,3888423780 s 0.1190070459 ns,3888423780 s 0.119141754 ns,3888423780 s 0.1227120969 ns,3888423788s 0.1221246298 ns,3888423788 s 0.1189594518 ns,3888423788 s 0.1189966919 ns,3888423788 s 0.1224538349 ns,3888423796s 0.1221246468 ns,3888423796 s 0.1190221568 ns,3888423796 s 0.119073947 ns,3888423796 s 0.1225798149 ns,3888423804s 0.122121207 ns,3888423804 s 0.1190825708 ns,3888423804 s 0.1191163068 ns,3888423804 s 0.1226106898 ns
7,3888424004s 0.1222045519 ns,3888424004 s 0.1191369419 ns,3888424004 s 0.1191861578 ns,3888424004 s 0.1226952879 ns,3888424012s 0.1221101228 ns,3888424012 s 0.1190189729 ns,3888424012 s 0.1190585238 ns,3888424012 s 0.1225376779 ns,3888424020s 0.1221565108 ns,3888424020 s 0.1190664379 ns,3888424020 s 0.1191242328 ns,3888424020 s 0.1225784579 ns,3888424028s 0.1221354948 ns,3888424028 s 0.1190017648 ns,3888424028 s 0.1190397539 ns,3888424028 s 0.1224937649 ns,3888424036s 0.12209715 ns,3888424036 s 0.1189528198 ns,3888424036 s 0.1189881908 ns,3888424036 s 0.1224615369 ns,3888424044s 0.1221001369 ns,3888424044 s 0.1189792419 ns,3888424044 s 0.1190172378 ns,3888424044 s 0.1225321158 ns,3888424052s 0.122124641 ns,3888424052 s 0.1190082778 ns,3888424052 s 0.1190552739 ns,3888424052 s 0.1225475208 ns,3888424060s 0.1221419948 ns,3888424060 s 0.1190169258 ns,3888424060 s 0.1190567429 ns,3888424060 s 0.1225435189 ns
8,3888424260s 0.1223278779 ns,3888424260 s 0.1191878289 ns,3888424260 s 0.1192625689 ns,3888424260 s 0.1226979459 ns,3888424268s 0.1220962598 ns,3888424268 s 0.119048951 ns,3888424268 s 0.119103533 ns,3888424268 s 0.1226225959 ns,3888424276s 0.122116637 ns,3888424276 s 0.1190312339 ns,3888424276 s 0.11906877 ns,3888424276 s 0.1226007899 ns,3888424284s 0.1220926298 ns,3888424284 s 0.1189813749 ns,3888424284 s 0.1190289229 ns,3888424284 s 0.1224654389 ns,3888424292s 0.1220994559 ns,3888424292 s 0.118992887 ns,3888424292 s 0.1190440499 ns,3888424292 s 0.1225606259 ns,3888424300s 0.12209539 ns,3888424300 s 0.1190027678 ns,3888424300 s 0.119067343 ns,3888424300 s 0.1225803278 ns,3888424308s 0.122100947 ns,3888424308 s 0.1190383858 ns,3888424308 s 0.1191518558 ns,3888424308 s 0.1226074258 ns,3888424316s 0.1221196409 ns,3888424316 s 0.1190859668 ns,3888424316 s 0.1191510269 ns,3888424316 s 0.1226411099 ns
9,3888424516s 0.1221931509 ns,3888424516 s 0.1201968428 ns,3888424516 s 0.1202388629 ns,3888424516 s 0.1236738788 ns,3888424524s 0.1221157929 ns,3888424524 s 0.119077747 ns,3888424524 s 0.1191253718 ns,3888424524 s 0.1226457979 ns,3888424532s 0.122097662 ns,3888424532 s 0.1189692318 ns,3888424532 s 0.1190101109 ns,3888424532 s 0.1225084199 ns,3888424540s 0.1221478849 ns,3888424540 s 0.119170927 ns,3888424540 s 0.1192206449 ns,3888424540 s 0.1227157379 ns,3888424548s 0.122108283 ns,3888424548 s 0.1190065029 ns,3888424548 s 0.1190504888 ns,3888424548 s 0.1225127848 ns,3888424556s 0.122104781 ns,3888424556 s 0.119064268 ns,3888424556 s 0.1191135978 ns,3888424556 s 0.1226013638 ns,3888424564s 0.1221543339 ns,3888424564 s 0.1190619168 ns,3888424564 s 0.119108734 ns,3888424564 s 0.1225659808 ns,3888424572s 0.1221298829 ns,3888424572 s 0.1190339599 ns,3888424572 s 0.1190855009 ns,3888424572 s 0.1225997978 ns
10,3888424772s 0.1221415158 ns,3888424772 s 0.1190652128 ns,3888424772 s 0.1191153228 ns,3888424772 s 0.122593035 ns,3888424780s 0.122093749 ns,3888424780 s 0.119061996 ns,3888424780 s 0.1191001099 ns,3888424780 s 0.12255874 ns,3888424788s 0.1220952959 ns,3888424788 s 0.1189932558 ns,3888424788 s 0.1190441728 ns,3888424788 s 0.1225043859 ns,3888424796s 0.1221203159 ns,3888424796 s 0.119024216 ns,3888424796 s 0.1190775079 ns,3888424796 s 0.1226093129 ns,3888424804s 0.122086277 ns,3888424804 s 0.1189976288 ns,3888424804 s 0.1190635469 ns,3888424804 s 0.1225171499 ns,3888424812s 0.1221286298 ns,3888424812 s 0.1190128089 ns,3888424812 s 0.119048825 ns,3888424812 s 0.1225425489 ns,3888424820s 0.1220949069 ns,3888424820 s 0.1191237108 ns,3888424820 s 0.1191611048 ns,3888424820 s 0.1226348528 ns,3888424828s 0.1220906589 ns,3888424828 s 0.1190355779 ns,3888424828 s 0.1191163289 ns,3888424828 s 0.1225723529 ns
