 Burst #, T_1^1, T_2^1, T_3^1, T_4^1, ... , T_1^n, T_2^n, T_3^n, T_4^n, (where n<=8 is the number of successful messages) 
1,3888422721s 3.929389641e-05 ns,3888422721 s 0.04111914197 ns,3888422721 s 0.0412071629 ns,3888422721 s 0.03380577685 ns,3888422729s 0.008707085857 ns,3888422729 s 0.04605878284 ns,3888422729 s 0.04615275678 ns,3888422729 s 0.0705561128 ns,3888422737s 0.004274094943 ns,3888422737 s 0.04241986992 ns,3888422737 s 0.04246816086 ns,3888422737 s 0.03030478884 ns,3888422744s 0.9994922038 ns,3888422745 s 0.03774342081 ns,3888422745 s 0.03778155684 ns,3888422745 s 0.03041348187 ns,3888422752s 0.9994679068 ns,3888422753 s 0.0381524968 ns,3888422753 s 0.03823123896 ns,3888422753 s 0.02608100488 ns,3888422761s 0.008339228807 ns,3888422761 s 0.04048093688 ns,3888422761 s 0.04052315699 ns,3888422761 s 0.03003499797 ns,3888422769s 0.0009158218745 ns,3888422769 s 0.03928094497 ns,3888422769 s 0.03932473483 ns,3888422769 s 0.02585968981 ns,3888422777s 0.0003891368397 ns,3888422777 s 0.03898434178 ns,3888422777 s 0.03903055796 ns,3888422777 s 0.02758908994 ns
2,3888422976s 0.999618426 ns,3888422977 s 0.03084628587 ns,3888422977 s 0.03090248792 ns,3888422977 s 0.022366066 ns,3888422984s 0.9994886438 ns,3888422985 s 0.03260633093 ns,3888422985 s 0.03265881981 ns,3888422985 s 0.01934434986 ns,3888422992s 0.9998840799 ns,3888422993 s 0.03258464579 ns,3888422993 s 0.03264697595 ns,3888422993 s 0.02154113492 ns,3888423001s 1.81584619e-06 ns,3888423001 s 0.03142879787 ns,3888423001 s 0.031468787 ns,3888423001 s 0.02105426486 ns,3888423008s 0.9997812519 ns,3888423009 s 0.03015069081 ns,3888423009 s 0.03026753291 ns,3888423009 s 0.01950321486 ns,3888423017s 0.0001662028953 ns,3888423017 s 0.03054203792 ns,3888423017 s 0.03058164287 ns,3888423017 s 0.01938616578 ns,3888423024s 0.9970312119 ns,3888423025 s 0.02935928479 ns,3888423025 s 0.02948475792 ns,3888423025 s 0.019070243 ns,3888423032s 0.9994037889 ns,3888423033 s 0.03726032982 ns,3888423033 s 0.03730682679 ns,3888423033 s 0.02588435588 ns
3,3888423233s 0.001422473928 ns,3888423233 s 0.03178017284 ns,3888423233 s 0.03182084579 ns,3888423233 s 0.0193346648 ns,3888423241s 0.0008782269433 ns,3888423241 s 0.03613087186 ns,3888423241 s 0.03618442686 ns,3888423241 s 0.02299328288 ns,3888423249s 0.0007203968707 ns,3888423249 s 0.02962273592 ns,3888423249 s 0.02968987683 ns,3888423249 s 0.01783114579 ns,3888423256s 0.9993103489 ns,3888423257 s 0.02794590686 ns,3888423257 s 0.02802247298 ns,3888423257 s 0.01741981693 ns,3888423265s 0.0006682639942 ns,3888423265 s 0.02876449493 ns,3888423265 s 0.02879497479 ns,3888423265 s 0.01731900196 ns,3888423272s 0.9967634089 ns,3888423273 s 0.02454812895 ns,3888423273 s 0.02459923783 ns,3888423273 s 0.01619105693 ns,3888423280s 0.9957763669 ns,3888423281 s 0.02409552084 ns,3888423281 s 0.02413542196 ns,3888423281 s 0.01439447096 ns,3888423288s 0.9994590478 ns,3888423289 s 0.02668960998 ns,3888423289 s 0.02674197685 ns,3888423289 s 0.01614509593 ns
4,3888423488s 0.995864101 ns,3888423489 s 0.01692227786 ns,3888423489 s 0.01699595386 ns,3888423489 s 0.0142010008 ns,3888423496s 0.995658634 ns,3888423497 s 0.01515741786 ns,3888423497 s 0.01520586689 ns,3888423497 s 0.01236607996 ns,3888423504s 0.9953762069 ns,3888423505 s 0.01466214494 ns,3888423505 s 0.01470789989 ns,3888423505 s 0.01306544198 ns,3888423512s 0.9961817618 ns,3888423513 s 0.01674132189 ns,3888423513 s 0.01677625882 ns,3888423513 s 0.01364339399 ns,3888423520s 0.9965142088 ns,3888423521 s 0.01559788594 ns,3888423521 s 0.01564623392 ns,3888423521 s 0.0134061689 ns,3888423528s 0.9972554189 ns,3888423529 s 0.01601827797 ns,3888423529 s 0.01604695199 ns,3888423529 s 0.01389927999 ns,3888423537s 1.119496301e-05 ns,3888423537 s 0.01829231391 ns,3888423537 s 0.01836956386 ns,3888423537 s 0.03641886893 ns,3888423544s 0.9966500469 ns,3888423545 s 0.01516021695 ns,3888423545 s 0.01524186693 ns,3888423545 s 0.01371221477 ns
5,3888423744s 0.9998454859 ns,3888423745 s 0.01460638689 ns,3888423745 s 0.01467325678 ns,3888423745 s 0.04087862093 ns,3888423753s 0.0006449508946 ns,3888423753 s 0.01346052298 ns,3888423753 s 0.01350794593 ns,3888423753 s 0.0201883018 ns,3888423761s 0.0008430748712 ns,3888423761 s 0.01363554387 ns,3888423761 s 0.0136834248 ns,3888423761 s 0.02025911584 ns,3888423769s 0.001243240898 ns,3888423769 s 0.01420108392 ns,3888423769 s 0.01425145986 ns,3888423769 s 0.01792418887 ns,3888423777s 4.365690984e-05 ns,3888423777 s 0.01298282784 ns,3888423777 s 0.01302868198 ns,3888423777 s 0.01671397081 ns,3888423784s 0.9994231209 ns,3888423785 s 0.01267884881 ns,3888423785 s 0.01272620377 ns,3888423785 s 0.01810001698 ns,3888423793s 0.001182137989 ns,3888423793 s 0.01372072077 ns,3888423793 s 0.01379027194 ns,3888423793 s 0.0248899709 ns,3888423801s 0.0001753768884 ns,3888423801 s 0.01218584785 ns,3888423801 s 0.012218836 ns,3888423801 s 0.01860828185 ns
6,3888424001s 0.0009231318254 ns,3888424001 s 0.01267199777 ns,3888424001 s 0.01272495091 ns,3888424001 s 0.02110588388 ns,3888424008s 0.9992536628 ns,3888424009 s 0.007806671783 ns,3888424009 s 0.007865058957 ns,3888424009 s 0.01662725583 ns,3888424016s 0.9993866568 ns,3888424017 s 0.007545705885 ns,3888424017 s 0.00759143196 ns,3888424017 s 0.01697330084 ns,3888424025s 0.003938065842 ns,3888424025 s 0.0120851479 ns,3888424025 s 0.0121260318 ns,3888424025 s 0.02352001285 ns,3888424032s 0.99587892 ns,3888424033 s 0.003967650933 ns,3888424033 s 0.004025466973 ns,3888424033 s 0.01390364789 ns,3888424040s 0.9966094808 ns,3888424041 s 0.008573773783 ns,3888424041 s 0.008622195804 ns,3888424041 s 0.01765065384 ns,3888424048s 0.9961489839 ns,3888424049 s 0.00391127984 ns,3888424049 s 0.003976473818 ns,3888424049 s 0.01317167399 ns,3888424056s 0.997230276 ns,3888424057 s 0.005082477815 ns,3888424057 s 0.005176250823 ns,3888424057 s 0.01432377682 ns
7,3888424257s 0.0003575799055 ns,3888424257 s 0.006349598989 ns,3888424257 s 0.006384135922 ns,3888424257 s 0.03231757996 ns,3888424265s 0.00319583388 ns,3888424265 s 0.008046934847 ns,3888424265 s 0.008078852901 ns,3888424265 s 0.02442606492 ns,3888424272s 0.9999825368 ns,3888424273 s 0.004778437782 ns,3888424273 s 0.00482411799 ns,3888424273 s 0.01718597091 ns,3888424280s 0.9999957348 ns,3888424281 s 0.005269687856 ns,3888424281 s 0.005320427939 ns,3888424281 s 0.01910118898 ns,3888424288s 0.9993391559 ns,3888424289 s 0.004176001996 ns,3888424289 s 0.004237023881 ns,3888424289 s 0.01993649593 ns,3888424297s 0.0002085359301 ns,3888424297 s 0.004940129817 ns,3888424297 s 0.004984270781 ns,3888424297 s 0.02321690693 ns,3888424304s 0.9996538989 ns,3888424305 s 0.006032054778 ns,3888424305 s 0.006094841985 ns,3888424305 s 0.01910413988 ns,3888424312s 0.9998056169 ns,3888424313 s 0.004049393814 ns,3888424313 s 0.004165490856 ns,3888424313 s 0.015690092 ns
8,3888424513s 0.0003508748487 ns,3888424513 s 0.003557691816 ns,3888424513 s 0.003625768935 ns,3888424513 s 0.02187878592 ns,3888424521s 0.001189676812 ns,3888424521 s 0.003960567992 ns,3888424521 s 0.004019146785 ns,3888424521 s 0.01861146884 ns,3888424528s 0.9996201778 ns,3888424529 s 0.001460529864 ns,3888424529 s 0.001512079965 ns,3888424529 s 0.04393640882 ns,3888424536s 0.9999480899 ns,3888424537 s 0.001648318954 ns,3888424537 s 0.001688732998 ns,3888424537 s 0.0182025549 ns,3888424545s 0.0004285718314 ns,3888424545 s 0.002304864815 ns,3888424545 s 0.002345492831 ns,3888424545 s 0.01746650692 ns,3888424552s 0.9994294308 ns,3888424553 s 0.001269851811 ns,3888424553 s 0.001313276822 ns,3888424553 s 0.01833538897 ns,3888424561s 0.001248530811 ns,3888424561 s 0.009071089793 ns,3888424561 s 0.009119784925 ns,3888424561 s 0.02465463779 ns,3888424569s 0.000185568817 ns,3888424569 s 0.002437274903 ns,3888424569 s 0.002659359947 ns,3888424569 s 0.02086349879 ns
9,3888424768s 0.996544285 ns,3888424768 s 0.9964588529 ns,3888424768 s 0.9965268068 ns,3888424769 s 0.01375125698 ns,3888424776s 0.996189517 ns,3888424776 s 0.9958686018 ns,3888424776 s 0.995909259 ns,3888424777 s 0.01371493284 ns,3888424784s 0.9968438339 ns,3888424784 s 0.996311842 ns,3888424784 s 0.9963643299 ns,3888424785 s 0.01398448297 ns,3888424792s 0.9956953218 ns,3888424792 s 0.9950448559 ns,3888424792 s 0.9950903689 ns,3888424793 s 0.01319007878 ns,3888424800s 0.9967207799 ns,3888424800 s 0.995851652 ns,3888424800 s 0.995901651 ns,3888424801 s 0.0137873129 ns,3888424808s 0.9956681058 ns,3888424808 s 0.9948597639 ns,3888424808 s 0.9949018259 ns,3888424809 s 0.01320145582 ns,3888424816s 0.9957639598 ns,3888424816 s 0.995017065 ns,3888424816 s 0.9950504019 ns,3888424817 s 0.01399607491 ns,3888424824s 0.996487584 ns,3888424824 s 0.9992733418 ns,3888424824 s 0.9993047118 ns,3888424825 s 0.02317388379 ns
10,3888425025s 0.00123747997 ns,3888425024 s 0.999989006 ns,3888425025 s 7.76539091e-05 ns,3888425025 s 0.0456268189 ns,3888425032s 0.9997444509 ns,3888425032 s 0.9969714449 ns,3888425032 s 0.9970091728 ns,3888425033 s 0.01552379387 ns,3888425040s 0.9993803878 ns,3888425040 s 0.9968955808 ns,3888425040 s 0.9969418929 ns,3888425041 s 0.01759800478 ns,3888425048s 0.9994783639 ns,3888425048 s 0.997408906 ns,3888425048 s 0.9974487298 ns,3888425049 s 0.01726325578 ns,3888425056s 0.9994688518 ns,3888425056 s 0.996901721 ns,3888425056 s 0.9969434049 ns,3888425057 s 0.01693622977 ns,3888425064s 0.9994498389 ns,3888425064 s 0.9963089679 ns,3888425064 s 0.9963551159 ns,3888425065 s 0.01664394699 ns,3888425072s 0.9993689449 ns,3888425072 s 0.9967170418 ns,3888425072 s 0.9967632899 ns,3888425073 s 0.01615112484 ns,3888425080s 0.999782695 ns,3888425081 s 0.002366647823 ns,3888425081 s 0.002402081853 ns,3888425081 s 0.02405143599 ns
11,3888425280s 0.9971930969 ns,3888425280 s 0.9947673688 ns,3888425280 s 0.9948149 ns,3888425281 s 0.02024315484 ns,3888425288s 0.9961554909 ns,3888425288 s 0.9917676928 ns,3888425288 s 0.9918170329 ns,3888425289 s 0.02765416098 ns,3888425296s 0.996171569 ns,3888425296 s 0.9919622459 ns,3888425296 s 0.9920364569 ns,3888425297 s 0.0141534789 ns,3888425304s 0.9958572949 ns,3888425304 s 0.9918835368 ns,3888425304 s 0.9919328538 ns,3888425305 s 0.01224165689 ns,3888425312s 0.9957749408 ns,3888425312 s 0.9917793719 ns,3888425312 s 0.9918301818 ns,3888425313 s 0.01252509886 ns,3888425320s 0.995516144 ns,3888425320 s 0.9915278868 ns,3888425320 s 0.99156653 ns,3888425321 s 0.01450840198 ns,3888425328s 0.999783122 ns,3888425328 s 0.996751108 ns,3888425328 s 0.9968258198 ns,3888425329 s 0.01742681884 ns,3888425337s 0.001200026833 ns,3888425336 s 0.9977125628 ns,3888425336 s 0.997778968 ns,3888425337 s 0.01937026484 ns
12,3888425536s 0.9969720978 ns,3888425536 s 0.997058271 ns,3888425536 s 0.9971821778 ns,3888425537 s 0.01628083084 ns,3888425544s 0.9993985279 ns,3888425544 s 0.9979716318 ns,3888425544 s 0.998002884 ns,3888425545 s 0.01461815182 ns,3888425552s 0.9970765358 ns,3888425552 s 0.9958417318 ns,3888425552 s 0.9958745539 ns,3888425553 s 0.02337844484 ns,3888425561s 0.001029469771 ns,3888425561 s 0.001129238866 ns,3888425561 s 0.001166735776 ns,3888425561 s 0.02799884393 ns,3888425569s 3.461679444e-05 ns,3888425568 s 0.9991175379 ns,3888425568 s 0.999159965 ns,3888425569 s 0.02430194383 ns,3888425576s 0.9964658418 ns,3888425576 s 0.995594654 ns,3888425576 s 0.9956272119 ns,3888425577 s 0.0150646558 ns,3888425584s 0.9968108078 ns,3888425584 s 0.9955018049 ns,3888425584 s 0.9955364708 ns,3888425585 s 0.03038057778 ns,3888425592s 0.996875905 ns,3888425592 s 0.9968065179 ns,3888425592 s 0.9968461338 ns,3888425593 s 0.01844846597 ns
