 Burst #, T_1^1, T_2^1, T_3^1, T_4^1, ... , T_1^n, T_2^n, T_3^n, T_4^n, (where n<=8 is the number of successful messages) 
1,3888417087s 5.056196824e-05 ns,3888417087 s 0.004054643912 ns,3888417087 s 0.004089078866 ns,3888417087 s 0.0003130889963ns,3888417088s 0.005734251812 ns,3888417088 s 0.009736377979 ns,3888417088 s 0.009774501901 ns,3888417088 s 0.00598387979ns,3888417089s 0.0006315959617 ns,3888417089 s 0.004660269944 ns,3888417089 s 0.004701871891 ns,3888417089 s 0.0009120409377ns,3888417089s 0.996878278 ns,3888417090 s 0.0009470898658 ns,3888417090 s 0.0009980718605 ns,3888417089 s 0.9972273728ns,3888417090s 0.9972622488 ns,3888417091 s 0.001262330916 ns,3888417091 s 0.0013031899 ns,3888417090 s 0.9975127778ns,3888417092s 0.007925069891 ns,3888417092 s 0.01194954384 ns,3888417092 s 0.01200169791 ns,3888417092 s 0.008231960936ns,3888417092s 0.999262573 ns,3888417093 s 0.003275371855 ns,3888417093 s 0.003464053851 ns,3888417092 s 0.9996803859ns,3888417094s 0.006527014775 ns,3888417094 s 0.01059550489 ns,3888417094 s 0.01064704685 ns,3888417094 s 0.006876767846ns
2,3888417097s 0.01780812186 ns,3888417097 s 0.02173422091 ns,3888417097 s 0.02180760982 ns,3888417097 s 0.01806209492ns,3888417098s 0.004920046777 ns,3888417098 s 0.008944989881 ns,3888417098 s 0.008972760988 ns,3888417098 s 0.005166702904ns,3888417099s 3.440794535e-05 ns,3888417099 s 0.003987613833 ns,3888417099 s 0.004111803835 ns,3888417099 s 0.0003127628006ns,3888417100s 0.006216849899 ns,3888417100 s 0.01018064981 ns,3888417100 s 0.0102007729 ns,3888417100 s 0.006393392803ns,3888417101s 0.002763603814 ns,3888417101 s 0.006744118873 ns,3888417101 s 0.006795259891 ns,3888417101 s 0.003019978991ns,3888417102s 0.0008646158967 ns,3888417102 s 0.004898145795 ns,3888417102 s 0.004948354792 ns,3888417102 s 0.001174837817ns,3888417103s 0.002921290928 ns,3888417103 s 0.006901284913 ns,3888417103 s 0.006928563816 ns,3888417103 s 0.00313656684ns,3888417103s 0.9969597089 ns,3888417104 s 0.0009338199161 ns,3888417104 s 0.0009647167753 ns,3888417103 s 0.9971663959ns
3,3888417107s 0.002297859872 ns,3888417107 s 0.006198872812 ns,3888417107 s 0.006223445991 ns,3888417107 s 0.002439595992ns,3888417108s 0.001345249824 ns,3888417108 s 0.005317835836 ns,3888417108 s 0.005350867985 ns,3888417108 s 0.00155315781ns,3888417108s 0.9999620218 ns,3888417109 s 0.004280632827 ns,3888417109 s 0.004414961906 ns,3888417109 s 0.000621802872ns,3888417109s 0.9978611248 ns,3888417110 s 0.001877944916 ns,3888417110 s 0.002049163915 ns,3888417109 s 0.9982734718ns,3888417110s 0.999357953 ns,3888417111 s 0.003381647868 ns,3888417111 s 0.003626143793 ns,3888417110 s 0.9998277719ns,3888417111s 0.999223372 ns,3888417112 s 0.003156923922 ns,3888417112 s 0.003177156905 ns,3888417111 s 0.9993715198ns,3888417112s 0.999263234 ns,3888417113 s 0.003226388944 ns,3888417113 s 0.003259891877 ns,3888417112 s 0.9994609989ns,3888417114s 0.002414045855 ns,3888417114 s 0.006395920878 ns,3888417114 s 0.006435525836 ns,3888417114 s 0.002650732873ns
4,3888417117s 0.004157675896 ns,3888417117 s 0.008108071983 ns,3888417117 s 0.008138216799 ns,3888417117 s 0.00434800284ns,3888417117s 0.9955268719 ns,3888417117 s 0.9995577799 ns,3888417117 s 0.999592735 ns,3888417117 s 0.9958078319ns,3888417118s 0.995598675 ns,3888417118 s 0.9996164038 ns,3888417118 s 0.9996501768 ns,3888417118 s 0.995882842ns,3888417119s 0.9952520879 ns,3888417119 s 0.9991927729 ns,3888417119 s 0.9992241599 ns,3888417119 s 0.995460182ns,3888417120s 0.9996271478 ns,3888417121 s 0.003643034957 ns,3888417121 s 0.003683440853 ns,3888417120 s 0.9998992989ns,3888417121s 0.9993463049 ns,3888417122 s 0.003283170983 ns,3888417122 s 0.003309116932 ns,3888417121 s 0.99951298ns,3888417122s 0.999581093 ns,3888417123 s 0.00351787894 ns,3888417123 s 0.003538161982 ns,3888417122 s 0.9997332669ns,3888417123s 0.999477312 ns,3888417124 s 0.003427436808 ns,3888417124 s 0.003460606793 ns,3888417123 s 0.9996610228ns
5,3888417126s 0.9992714189 ns,3888417127 s 0.00316104386 ns,3888417127 s 0.003174331971 ns,3888417126 s 0.9993768118ns,3888417127s 0.9992352908 ns,3888417128 s 0.00316964183 ns,3888417128 s 0.00319010485 ns,3888417127 s 0.999384427ns,3888417128s 0.9996281378 ns,3888417129 s 0.003616061993 ns,3888417129 s 0.003644150915 ns,3888417128 s 0.999852794ns,3888417129s 0.9995232229 ns,3888417130 s 0.003453684971 ns,3888417130 s 0.003481503809 ns,3888417129 s 0.9996879718ns,3888417131s 8.83359462e-05 ns,3888417131 s 0.004104718799 ns,3888417131 s 0.004206594778 ns,3888417131 s 0.0004137838259ns,3888417131s 0.9993661428 ns,3888417132 s 0.003389129881 ns,3888417132 s 0.003421287984 ns,3888417131 s 0.9996296598ns,3888417132s 0.9998709268 ns,3888417133 s 0.003819827922 ns,3888417133 s 0.003849489847 ns,3888417133 s 5.679996684e-05ns,3888417133s 0.995883195 ns,3888417133 s 0.999867179 ns,3888417133 s 0.9998955689 ns,3888417133 s 0.9961028779ns
6,3888417136s 0.995753045 ns,3888417136 s 0.9996440329 ns,3888417136 s 0.999660027 ns,3888417136 s 0.9958603708ns,3888417137s 0.9996175359 ns,3888417138 s 0.003643596778 ns,3888417138 s 0.003671936924 ns,3888417137 s 0.9998789558ns,3888417138s 0.9995606199 ns,3888417139 s 0.003479716834 ns,3888417139 s 0.003514368786 ns,3888417138 s 0.9997141529ns,3888417139s 0.9999820939 ns,3888417140 s 0.003947918769 ns,3888417140 s 0.003968091914 ns,3888417140 s 0.000160288997ns,3888417140s 0.9997432888 ns,3888417141 s 0.003681826871 ns,3888417141 s 0.003701727837 ns,3888417140 s 0.9998941859ns,3888417141s 0.9995522739 ns,3888417142 s 0.003598015988 ns,3888417142 s 0.003712164937 ns,3888417141 s 0.9999231119ns,3888417142s 0.9999526758 ns,3888417143 s 0.003923810786 ns,3888417143 s 0.00395183987 ns,3888417143 s 0.0001579069067ns,3888417143s 0.999384559 ns,3888417144 s 0.003420579946 ns,3888417144 s 0.003581566969 ns,3888417143 s 0.9997966229ns
